ticker,entry_date,exit_date,entry,exit,result,profit,capital
KO,2025-04-17,2025-04-25,72.48,70.81,SL,10.339300000000012,1148.4804828681947
META,2024-11-12,2024-11-15,583.38,569.33,SL,10.520999999999962,1159.0014828681947
META,2025-01-10,2025-01-27,614.84,658.7865600585938,EXP,12.183968017578115,1171.1854508857728
META,2025-01-27,2025-02-10,658.79,716.2112426757812,EXP,7.03897397460938,1178.2244248603822
META,2025-07-01,2025-07-07,719.22,718.3499755859375,EXP,-1.6264175781250196,1176.5980072822572
GOOGL,2024-11-14,2024-11-29,174.97,168.358642578125,EXP,-5.694063769531249,1170.9039435127258
GOOGL,2024-12-10,2024-12-11,184.73,190.95,TP,16.540399999999995,1187.444343512726
GOOGL,2024-12-12,2024-12-27,191.51,192.30543518066406,EXP,-0.5625106506347606,1186.8818328620912
GOOGL,2024-12-17,2025-01-02,194.96,188.98329162597656,EXP,-3.8090529357910192,1183.0727799263002
GOOGL,2024-12-18,2024-12-26,187.96,195.77,TP,16.728700000000007,1199.8014799263003
GOOGL,2025-02-03,2025-02-05,200.76,195.93,SL,11.02669999999996,1210.8281799263002
NEM,2024-07-24,2024-07-25,46.69,45.59,SL,11.088999999999938,1221.9171799263002
NEM,2025-03-21,2025-04-04,47.14,43.97412872314453,EXP,-6.920179287719728,1214.9970006385804
NEM,2025-03-31,2025-04-14,48.06,54.53468704223633,EXP,9.55373987884521,1224.5507405174255
NEM,2025-04-03,2025-04-17,48.1,54.82333755493164,EXP,9.959040214538572,1234.5097807319642
NEM,2025-04-10,2025-04-11,50.7,53.82,TP,17.532799999999988,1252.042580731964
LIN,2024-07-24,2024-08-07,438.26,436.3800964355469,EXP,-2.1279421386718695,1249.9146385932922
LIN,2024-07-25,2024-08-08,437.54,441.98968505859375,EXP,1.7588047363281123,1251.6734433296203
LIN,2025-06-03,2025-06-17,470.32,460.8999938964844,EXP,-3.9202018920898416,1247.7532414375305
LIN,2025-06-04,2025-06-18,473.77,458.70001220703125,EXP,-5.2195965820312455,1242.5336448554992
AMT,2024-08-07,2024-08-12,218.83,213.49,SL,11.442200000000009,1253.9758448554992
AMT,2024-10-23,2024-10-24,220.71,222.68,TP,17.83319999999999,1271.8090448554992
AMT,2025-03-21,2025-03-25,212.79,207.89,SL,11.740000000000014,1283.5490448554992
PLD,2024-09-12,2024-09-26,125.88,121.88903045654297,EXP,-5.150608325195308,1278.398436530304
